"Consumer confidence index (CCI)"
"Amplitude adjusted, Long-term average = 100"
"Category","United States"
"1980-04-01 00:00:00",96.35973
"1980-05-01 00:00:00",96.32498
"1980-06-01 00:00:00",96.71927
"1980-07-01 00:00:00",97.28951
"1980-08-01 00:00:00",97.90966
"1980-09-01 00:00:00",98.43228
"1980-10-01 00:00:00",98.65443
"1980-11-01 00:00:00",98.54496
"1980-12-01 00:00:00",98.17483
"1981-01-01 00:00:00",98.0257
"1981-02-01 00:00:00",97.93038
"1981-03-01 00:00:00",98.03059
"1981-04-01 00:00:00",98.34489
"1981-05-01 00:00:00",98.62159
"1981-06-01 00:00:00",98.71592
"1981-07-01 00:00:00",98.77034
"1981-08-01 00:00:00",98.7452
"1981-09-01 00:00:00",98.48154
"1981-10-01 00:00:00",98.08949
"1981-11-01 00:00:00",97.73139
"1981-12-01 00:00:00",97.68587
"1982-01-01 00:00:00",97.79169
"1982-02-01 00:00:00",97.70433
"1982-03-01 00:00:00",97.57524
"1982-04-01 00:00:00",97.61193
"1982-05-01 00:00:00",97.67965
"1982-06-01 00:00:00",97.6749
"1982-07-01 00:00:00",97.69205
"1982-08-01 00:00:00",97.81721
"1982-09-01 00:00:00",98.07588
"1982-10-01 00:00:00",98.30781
"1982-11-01 00:00:00",98.36533
"1982-12-01 00:00:00",98.36199
"1983-01-01 00:00:00",98.46259
"1983-02-01 00:00:00",98.86311
"1983-03-01 00:00:00",99.5144
"1983-04-01 00:00:00",100.2138
"1983-05-01 00:00:00",100.6802
"1983-06-01 00:00:00",100.828
"1983-07-01 00:00:00",100.7922
"1983-08-01 00:00:00",100.6518
"1983-09-01 00:00:00",100.5363
"1983-10-01 00:00:00",100.543
"1983-11-01 00:00:00",100.7356
"1983-12-01 00:00:00",101.0674
"1984-01-01 00:00:00",101.3989
"1984-02-01 00:00:00",101.5299
"1984-03-01 00:00:00",101.5594
"1984-04-01 00:00:00",101.4379
"1984-05-01 00:00:00",101.3601
"1984-06-01 00:00:00",101.3119
"1984-07-01 00:00:00",101.3825
"1984-08-01 00:00:00",101.5082
"1984-09-01 00:00:00",101.5307
"1984-10-01 00:00:00",101.3641
"1984-11-01 00:00:00",101.1837
"1984-12-01 00:00:00",101.0533
"1985-01-01 00:00:00",101.0351
"1985-02-01 00:00:00",100.9926
"1985-03-01 00:00:00",100.9713
"1985-04-01 00:00:00",100.9723
"1985-05-01 00:00:00",100.9733
"1985-06-01 00:00:00",101.0331
"1985-07-01 00:00:00",100.9625
"1985-08-01 00:00:00",100.815
"1985-09-01 00:00:00",100.6653
"1985-10-01 00:00:00",100.568
"1985-11-01 00:00:00",100.6733
"1985-12-01 00:00:00",100.8901
"1986-01-01 00:00:00",101.0739
"1986-02-01 00:00:00",101.1614
"1986-03-01 00:00:00",101.1863
"1986-04-01 00:00:00",101.2263
"1986-05-01 00:00:00",101.285
"1986-06-01 00:00:00",101.3805
"1986-07-01 00:00:00",101.3227
"1986-08-01 00:00:00",101.1452
"1986-09-01 00:00:00",100.9758
"1986-10-01 00:00:00",100.8853
"1986-11-01 00:00:00",100.7061
"1986-12-01 00:00:00",100.5556
"1987-01-01 00:00:00",100.5238
"1987-02-01 00:00:00",100.5537
"1987-03-01 00:00:00",100.6257
"1987-04-01 00:00:00",100.7044
"1987-05-01 00:00:00",100.737
"1987-06-01 00:00:00",100.8083
"1987-07-01 00:00:00",100.9097
"1987-08-01 00:00:00",100.9144
"1987-09-01 00:00:00",100.7335
"1987-10-01 00:00:00",100.3941
"1987-11-01 00:00:00",100.1256
"1987-12-01 00:00:00",100.196
"1988-01-01 00:00:00",100.4533
"1988-02-01 00:00:00",100.6887
"1988-03-01 00:00:00",100.8482
"1988-04-01 00:00:00",100.891
